subsector_ssp,mex_sector,mex_subsector,gas,ID,vars
trns,[1] Energía,[1A] Actividades de quema del combustible,CO2,[1A] Actividades de quema del combustible:CO2,emission_co2e_co2_trns_aviation:emission_co2e_co2_trns_human_powered:emission_co2e_co2_trns_powered_bikes:emission_co2e_co2_trns_public:emission_co2e_co2_trns_rail_freight:emission_co2e_co2_trns_rail_passenger:emission_co2e_co2_trns_road_heavy_freight:emission_co2e_co2_trns_road_heavy_regional:emission_co2e_co2_trns_road_light:emission_co2e_co2_trns_water_borne
trns,[1] Energía,[1A] Actividades de quema del combustible,N2O,[1A] Actividades de quema del combustible:N2O,emission_co2e_n2o_trns_aviation:emission_co2e_n2o_trns_human_powered:emission_co2e_n2o_trns_powered_bikes:emission_co2e_n2o_trns_public:emission_co2e_n2o_trns_rail_freight:emission_co2e_n2o_trns_rail_passenger:emission_co2e_n2o_trns_road_heavy_freight:emission_co2e_n2o_trns_road_heavy_regional:emission_co2e_n2o_trns_road_light:emission_co2e_n2o_trns_water_borne
entc,[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,CH4,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles:CH4,emission_co2e_ch4_entc_fuel_mining_and_extraction_me_coal:emission_co2e_ch4_entc_fuel_mining_and_extraction_me_crude:emission_co2e_ch4_entc_fuel_mining_and_extraction_me_natural_gas
entc,[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,CO2,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles:CO2,emission_co2e_co2_entc_mining_and_extraction_me_coal:emission_co2e_co2_entc_mining_and_extraction_me_crude:emission_co2e_co2_entc_mining_and_extraction_me_natural_gas
entc,[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,N2O,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles:N2O,emission_co2e_n2o_entc_fuel_mining_and_extraction_me_coal:emission_co2e_n2o_entc_fuel_mining_and_extraction_me_crude:emission_co2e_n2o_entc_fuel_mining_and_extraction_me_natural_gas
fgtv,[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,CH4,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles:CH4,emission_co2e_ch4_fgtv_fuel_coal:emission_co2e_ch4_fgtv_fuel_natural_gas:emission_co2e_ch4_fgtv_fuel_oil
fgtv,[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,CO2,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles:CO2,emission_co2e_co2_fgtv_fuel_coal:emission_co2e_co2_fgtv_fuel_natural_gas:emission_co2e_co2_fgtv_fuel_oil
fgtv,[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,N2O,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles:N2O,emission_co2e_n2o_fgtv_fuel_coal:emission_co2e_n2o_fgtv_fuel_natural_gas:emission_co2e_n2o_fgtv_fuel_oil
ippu,[2] Procesos industriales y uso de productos,[2A] Industria de los minerales,CO2,[2A] Industria de los minerales:CO2,emission_co2e_co2_ippu_production_cement:emission_co2e_co2_ippu_production_glass:emission_co2e_co2_ippu_production_lime_and_carbonite
ippu,[2] Procesos industriales y uso de productos,[2B] Industria química,CH4,[2B] Industria química:CH4,emission_co2e_ch4_ippu_production_chemicals
ippu,[2] Procesos industriales y uso de productos,[2B] Industria química,CO2,[2B] Industria química:CO2,emission_co2e_co2_ippu_production_chemicals
ippu,[2] Procesos industriales y uso de productos,[2B] Industria química,HFCS,[2B] Industria química:HFCS,emission_co2e_hfcs_ippu_production_chemicals
ippu,[2] Procesos industriales y uso de productos,[2B] Industria química,N2O,[2B] Industria química:N2O,emission_co2e_n2o_ippu_production_chemicals
ippu,[2] Procesos industriales y uso de productos,[2B] Industria química,NF3,[2B] Industria química:NF3,emission_co2e_nf3_ippu_production_chemicals
ippu,[2] Procesos industriales y uso de productos,[2B] Industria química,PFCS,[2B] Industria química:PFCS,emission_co2e_pfcs_ippu_production_chemicals
ippu,[2] Procesos industriales y uso de productos,[2B] Industria química,SF6,[2B] Industria química:SF6,emission_co2e_sf6_ippu_production_chemicals
ippu,[2] Procesos industriales y uso de productos,[2C] Industria de los metales,CH4,[2C] Industria de los metales:CH4,emission_co2e_ch4_ippu_production_metals
ippu,[2] Procesos industriales y uso de productos,[2C] Industria de los metales,CO2,[2C] Industria de los metales:CO2,emission_co2e_co2_ippu_production_metals
ippu,[2] Procesos industriales y uso de productos,[2C] Industria de los metales,HFCS,[2C] Industria de los metales:HFCS,emission_co2e_hfcs_ippu_production_metals
ippu,[2] Procesos industriales y uso de productos,[2C] Industria de los metales,SF6,[2C] Industria de los metales:SF6,emission_co2e_sf6_ippu_production_metals
ippu,[2] Procesos industriales y uso de productos,[2D] Uso de productos no energéticos de combustibles y de solvente,CO2,[2D] Uso de productos no energéticos de combustibles y de solvente:CO2,emission_co2e_co2_ippu_product_use_product_use_lubricants:emission_co2e_co2_ippu_product_use_product_use_other:emission_co2e_co2_ippu_product_use_product_use_paraffin_wax:emission_co2e_co2_ippu_production_product_use_lubricants:emission_co2e_co2_ippu_production_product_use_paraffin_wax
ippu,[2] Procesos industriales y uso de productos,[2E] Industria electrónica,HFCS,[2E] Industria electrónica:HFCS,emission_co2e_hfcs_ippu_production_electronics
ippu,[2] Procesos industriales y uso de productos,[2E] Industria electrónica,NF3,[2E] Industria electrónica:NF3,emission_co2e_nf3_ippu_production_electronics
ippu,[2] Procesos industriales y uso de productos,[2E] Industria electrónica,PFCS,[2E] Industria electrónica:PFCS,emission_co2e_pfcs_ippu_production_electronics
ippu,[2] Procesos industriales y uso de productos,[2E] Industria electrónica,SF6,[2E] Industria electrónica:SF6,emission_co2e_sf6_ippu_production_electronics
ippu,[2] Procesos industriales y uso de productos,[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,HFCS,[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono:HFCS,emission_co2e_hfcs_ippu_product_use_product_use_ods_other:emission_co2e_hfcs_ippu_product_use_product_use_ods_refrigeration
ippu,[2] Procesos industriales y uso de productos,[2G] Manufactura y utilización de otros productos,PFCS,[2G] Manufactura y utilización de otros productos:PFCS,emission_co2e_pfcs_ippu_production_other_product_manufacturing
ippu,[2] Procesos industriales y uso de productos,[2G] Manufactura y utilización de otros productos,SF6,[2G] Manufactura y utilización de otros productos:SF6,emission_co2e_sf6_ippu_production_other_product_manufacturing
ippu,[2] Procesos industriales y uso de productos,[2H] Otros,CO2,[2H] Otros:CO2,emission_co2e_co2_ippu_production_paper:emission_co2e_co2_ippu_production_plastic
lvst,[3] Agricultura,[3A] Fermentación entérica,CH4,[3A] Fermentación entérica:CH4,emission_co2e_ch4_lvst_entferm_buffalo:emission_co2e_ch4_lvst_entferm_cattle_dairy:emission_co2e_ch4_lvst_entferm_cattle_nondairy:emission_co2e_ch4_lvst_entferm_chickens:emission_co2e_ch4_lvst_entferm_goats:emission_co2e_ch4_lvst_entferm_horses:emission_co2e_ch4_lvst_entferm_mules:emission_co2e_ch4_lvst_entferm_pigs:emission_co2e_ch4_lvst_entferm_sheep
lsmm,[3] Agricultura,[3B] Gestión del estiércol,CH4,[3B] Gestión del estiércol:CH4,emission_co2e_ch4_lsmm_anaerobic_digester:emission_co2e_ch4_lsmm_anaerobic_lagoon:emission_co2e_ch4_lsmm_composting:emission_co2e_ch4_lsmm_daily_spread:emission_co2e_ch4_lsmm_deep_bedding:emission_co2e_ch4_lsmm_dry_lot:emission_co2e_ch4_lsmm_incineration:emission_co2e_ch4_lsmm_liquid_slurry:emission_co2e_ch4_lsmm_paddock_pasture_range:emission_co2e_ch4_lsmm_poultry_manure:emission_co2e_ch4_lsmm_storage_solid
lsmm,[3] Agricultura,[3B] Gestión del estiércol,N2O,[3B] Gestión del estiércol:N2O,emission_co2e_n2o_lsmm_direct_anaerobic_digester:emission_co2e_n2o_lsmm_direct_anaerobic_lagoon:emission_co2e_n2o_lsmm_direct_composting:emission_co2e_n2o_lsmm_direct_daily_spread:emission_co2e_n2o_lsmm_direct_deep_bedding:emission_co2e_n2o_lsmm_direct_dry_lot:emission_co2e_n2o_lsmm_direct_incineration:emission_co2e_n2o_lsmm_direct_liquid_slurry:emission_co2e_n2o_lsmm_direct_paddock_pasture_range:emission_co2e_n2o_lsmm_direct_poultry_manure:emission_co2e_n2o_lsmm_direct_storage_solid:emission_co2e_n2o_lsmm_indirect_anaerobic_digester:emission_co2e_n2o_lsmm_indirect_anaerobic_lagoon:emission_co2e_n2o_lsmm_indirect_composting:emission_co2e_n2o_lsmm_indirect_daily_spread:emission_co2e_n2o_lsmm_indirect_deep_bedding:emission_co2e_n2o_lsmm_indirect_dry_lot:emission_co2e_n2o_lsmm_indirect_incineration:emission_co2e_n2o_lsmm_indirect_liquid_slurry:emission_co2e_n2o_lsmm_indirect_paddock_pasture_range:emission_co2e_n2o_lsmm_indirect_poultry_manure:emission_co2e_n2o_lsmm_indirect_storage_solid
lsmm,[3] Agricultura,[3B5] Emisiones indirectas de los N2O de la gestión del estiércol,N2O,[3B5] Emisiones indirectas de los N2O de la gestión del estiércol:N2O,emission_co2e_n2o_lsmm_indirect_anaerobic_digester:emission_co2e_n2o_lsmm_indirect_anaerobic_lagoon:emission_co2e_n2o_lsmm_indirect_composting:emission_co2e_n2o_lsmm_indirect_daily_spread:emission_co2e_n2o_lsmm_indirect_deep_bedding:emission_co2e_n2o_lsmm_indirect_dry_lot:emission_co2e_n2o_lsmm_indirect_incineration:emission_co2e_n2o_lsmm_indirect_liquid_slurry:emission_co2e_n2o_lsmm_indirect_paddock_pasture_range:emission_co2e_n2o_lsmm_indirect_poultry_manure:emission_co2e_n2o_lsmm_indirect_storage_solid
agrc,[3] Agricultura,[3C] Cultivo del arroz,CH4,[3C] Cultivo del arroz:CH4,emission_co2e_ch4_agrc_anaerobicdom_rice
soil,[3] Agricultura,[3D1] Emisiones directas de los N2O de los suelos gestionados,N2O,[3D1] Emisiones directas de los N2O de los suelos gestionados:N2O,emission_co2e_n2o_soil_fertilizer:emission_co2e_n2o_soil_mineral_soils:emission_co2e_n2o_soil_organic_soils
soil,[3] Agricultura,[3D2] Emisiones indirectas de los N2O de los suelos gestionados,N2O,[3D2] Emisiones indirectas de los N2O de los suelos gestionados:N2O,emission_co2e_n2o_soil_paddock_pasture_range
agrc,[3] Agricultura,[3F] Emisiones de quemado de biomasa en tierras de cultivo,CH4,[3F] Emisiones de quemado de biomasa en tierras de cultivo:CH4,emission_co2e_ch4_agrc_biomass_burning
agrc,[3] Agricultura,[3F] Emisiones de quemado de biomasa en tierras de cultivo,N2O,[3F] Emisiones de quemado de biomasa en tierras de cultivo:N2O,emission_co2e_n2o_agrc_biomass_burning:emission_co2e_n2o_agrc_crop_residues
soil,[3] Agricultura,[3G] Encalado,CO2,[3G] Encalado:CO2,emission_co2e_co2_soil_lime_use
soil,[3] Agricultura,[3H] Aplicación de urea,CO2,[3H] Aplicación de urea:CO2,emission_co2e_co2_soil_urea_use
frst,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4A] Tierra forestales,CO2,[4A] Tierra forestales:CO2,emission_co2e_co2_frst_sequestration_mangroves:emission_co2e_co2_frst_sequestration_primary:emission_co2e_co2_frst_sequestration_secondary
lndu,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4B] Tierra de cultivo,CO2,[4B] Tierra de cultivo:CO2,emission_co2e_co2_lndu_conversion_croplands_to_croplands:emission_co2e_co2_lndu_conversion_flooded_to_croplands:emission_co2e_co2_lndu_conversion_grasslands_to_croplands:emission_co2e_co2_lndu_conversion_other_to_croplands:emission_co2e_co2_lndu_conversion_pastures_to_croplands:emission_co2e_co2_lndu_conversion_settlements_to_croplands:emission_co2e_co2_lndu_conversion_shrublands_to_croplands:emission_co2e_co2_lndu_conversion_wetlands_to_croplands
lndu,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4C] Praderas,CO2,[4C] Praderas:CO2,emission_co2e_co2_lndu_biomass_sequestration_grasslands:emission_co2e_co2_lndu_biomass_sequestration_pastures:emission_co2e_co2_lndu_biomass_sequestration_shrublands:emission_co2e_co2_lndu_conversion_croplands_to_grasslands:emission_co2e_co2_lndu_conversion_croplands_to_pastures:emission_co2e_co2_lndu_conversion_croplands_to_shrublands:emission_co2e_co2_lndu_conversion_flooded_to_grasslands:emission_co2e_co2_lndu_conversion_flooded_to_pastures:emission_co2e_co2_lndu_conversion_flooded_to_shrublands:emission_co2e_co2_lndu_conversion_grasslands_to_grasslands:emission_co2e_co2_lndu_conversion_grasslands_to_pastures:emission_co2e_co2_lndu_conversion_grasslands_to_shrublands:emission_co2e_co2_lndu_conversion_other_to_grasslands:emission_co2e_co2_lndu_conversion_other_to_pastures:emission_co2e_co2_lndu_conversion_other_to_shrublands:emission_co2e_co2_lndu_conversion_pastures_to_grasslands:emission_co2e_co2_lndu_conversion_pastures_to_pastures:emission_co2e_co2_lndu_conversion_pastures_to_shrublands:emission_co2e_co2_lndu_conversion_settlements_to_grasslands:emission_co2e_co2_lndu_conversion_settlements_to_pastures:emission_co2e_co2_lndu_conversion_settlements_to_shrublands:emission_co2e_co2_lndu_conversion_shrublands_to_grasslands:emission_co2e_co2_lndu_conversion_shrublands_to_pastures:emission_co2e_co2_lndu_conversion_shrublands_to_shrublands:emission_co2e_co2_lndu_conversion_wetlands_to_grasslands:emission_co2e_co2_lndu_conversion_wetlands_to_pastures:emission_co2e_co2_lndu_conversion_wetlands_to_shrublands
lndu,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4D] Humedales,CO2,[4D] Humedales:CO2,emission_co2e_co2_lndu_biomass_sequestration_wetlands:emission_co2e_co2_lndu_conversion_croplands_to_flooded:emission_co2e_co2_lndu_conversion_croplands_to_wetlands:emission_co2e_co2_lndu_conversion_flooded_to_flooded:emission_co2e_co2_lndu_conversion_flooded_to_wetlands:emission_co2e_co2_lndu_conversion_grasslands_to_flooded:emission_co2e_co2_lndu_conversion_grasslands_to_wetlands:emission_co2e_co2_lndu_conversion_other_to_flooded:emission_co2e_co2_lndu_conversion_other_to_wetlands:emission_co2e_co2_lndu_conversion_pastures_to_flooded:emission_co2e_co2_lndu_conversion_pastures_to_wetlands:emission_co2e_co2_lndu_conversion_settlements_to_flooded:emission_co2e_co2_lndu_conversion_settlements_to_wetlands:emission_co2e_co2_lndu_conversion_shrublands_to_flooded:emission_co2e_co2_lndu_conversion_shrublands_to_wetlands:emission_co2e_co2_lndu_conversion_wetlands_to_flooded:emission_co2e_co2_lndu_conversion_wetlands_to_wetlands
lndu,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4E] Asentamientos,CO2,[4E] Asentamientos:CO2,emission_co2e_co2_lndu_biomass_sequestration_settlements:emission_co2e_co2_lndu_conversion_croplands_to_settlements:emission_co2e_co2_lndu_conversion_flooded_to_settlements:emission_co2e_co2_lndu_conversion_grasslands_to_settlements:emission_co2e_co2_lndu_conversion_other_to_settlements:emission_co2e_co2_lndu_conversion_pastures_to_settlements:emission_co2e_co2_lndu_conversion_settlements_to_settlements:emission_co2e_co2_lndu_conversion_shrublands_to_settlements:emission_co2e_co2_lndu_conversion_wetlands_to_settlements
lndu,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4F] Otras tierras,CO2,[4F] Otras tierras:CO2,emission_co2e_co2_lndu_biomass_sequestration_other:emission_co2e_co2_lndu_conversion_croplands_to_other:emission_co2e_co2_lndu_conversion_flooded_to_other:emission_co2e_co2_lndu_conversion_grasslands_to_other:emission_co2e_co2_lndu_conversion_other_to_other:emission_co2e_co2_lndu_conversion_pastures_to_other:emission_co2e_co2_lndu_conversion_settlements_to_other:emission_co2e_co2_lndu_conversion_shrublands_to_other:emission_co2e_co2_lndu_conversion_wetlands_to_other
frst,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4G] Productos de madera recolectada,CO2,[4G] Productos de madera recolectada:CO2,emission_co2e_co2_frst_harvested_wood_products
frst,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4G] Productos de madera recolectada,CO2,[4G] Productos de madera recolectada:CO2,emission_co2e_co2_frst_harvested_wood_products
frst,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4(IV)] Emisiones de GEI por quemado de biomasa,CH4,[4(IV)] Emisiones de GEI por quemado de biomasa:CH4,emission_co2e_ch4_frst_methane_mangroves:emission_co2e_ch4_frst_methane_primary:emission_co2e_ch4_frst_methane_secondary
frst,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4(IV)] Emisiones de GEI por quemado de biomasa,N2O,[4(IV)] Emisiones de GEI por quemado de biomasa:N2O,emission_co2e_co2_frst_forest_fires
waso,[5] Residuos,[5A] Eliminación de residuos sólidos,CH4,[5A] Eliminación de residuos sólidos:CH4,emission_co2e_ch4_waso_landfilled_chemical_industrial:emission_co2e_ch4_waso_landfilled_food:emission_co2e_ch4_waso_landfilled_glass:emission_co2e_ch4_waso_landfilled_metal:emission_co2e_ch4_waso_landfilled_nappies:emission_co2e_ch4_waso_landfilled_other:emission_co2e_ch4_waso_landfilled_paper:emission_co2e_ch4_waso_landfilled_plastic:emission_co2e_ch4_waso_landfilled_rubber_leather:emission_co2e_ch4_waso_landfilled_sludge:emission_co2e_ch4_waso_landfilled_textiles:emission_co2e_ch4_waso_landfilled_wood:emission_co2e_ch4_waso_landfilled_yard:emission_co2e_ch4_waso_open_dump_chemical_industrial:emission_co2e_ch4_waso_open_dump_food:emission_co2e_ch4_waso_open_dump_glass:emission_co2e_ch4_waso_open_dump_metal:emission_co2e_ch4_waso_open_dump_nappies:emission_co2e_ch4_waso_open_dump_other:emission_co2e_ch4_waso_open_dump_paper:emission_co2e_ch4_waso_open_dump_plastic:emission_co2e_ch4_waso_open_dump_rubber_leather:emission_co2e_ch4_waso_open_dump_sludge:emission_co2e_ch4_waso_open_dump_textiles:emission_co2e_ch4_waso_open_dump_wood:emission_co2e_ch4_waso_open_dump_yard
