sector,subsector,transformer_code,transformer_name,transformer_description,transformer_unit,start_period,maximum_magnitude,strategy_PFLO_NDC_3,year
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.00703125,2029
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.0140625,2030
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.02109375,2031
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.028125,2032
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.03515625,2033
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.0421875,2034
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.04921875,2035
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.05625,2036
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.06328125,2037
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.0703125,2038
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.07734375,2039
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.084375,2040
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.09140625000000001,2041
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.0984375,2042
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.10546875,2043
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.1125,2044
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.11953125,2045
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.1265625,2046
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.13359375,2047
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.140625,2048
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.14765625000000002,2049
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.1546875,2050
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.16171875,2051
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.16875,2052
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.17578125,2053
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.18281250000000002,2054
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.18984375,2055
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.196875,2056
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.20390625,2057
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.2109375,2058
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.21796875000000002,2059
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,13,0.0,0.225,2060
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.0,2015
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.0,2016
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.0,2017
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.0,2018
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.0,2019
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.0,2020
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.0,2021
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.0,2022
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.0,2023
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.0,2024
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.0,2025
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.0,2026
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.0,2027
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.0,2028
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.009375,2029
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.01875,2030
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.028124999999999997,2031
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.0375,2032
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.046875,2033
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.056249999999999994,2034
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.065625,2035
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.075,2036
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.08437499999999999,2037
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.09375,2038
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.103125,2039
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.11249999999999999,2040
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.121875,2041
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.13125,2042
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.140625,2043
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.15,2044
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.159375,2045
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.16874999999999998,2046
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.178125,2047
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.1875,2048
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.196875,2049
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.20625,2050
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.21562499999999998,2051
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.22499999999999998,2052
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.234375,2053
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.24375,2054
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.253125,2055
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.2625,2056
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.271875,2057
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.28125,2058
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.29062499999999997,2059
AFOLU,AGRC,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC: Reduce supply chain losses,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),Fractional reduction in food waste in supply chain,13,0.0,0.3,2060
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),13,0.0,0.0,2015
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),13,0.0,0.0,2016
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),13,0.0,0.0,2017
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),13,0.0,0.0,2018
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),13,0.0,0.0,2019
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),13,0.0,0.0,2020
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),13,0.0,0.0,2021
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),13,0.0,0.0,2022
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),13,0.0,0.0,2023
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),13,0.0,0.0,2024
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),13,0.0,0.0,2025
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),13,0.0,0.0,2026
