sector,subsector,transformer_code,transformer_name,transformer_description,transformer_unit,maximum_magnitude,strategy_PFLO_1,year
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.038571428571428576,2028
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.05142857142857143,2029
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.06428571428571428,2030
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.07714285714285715,2031
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.09000000000000001,2032
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.10285714285714286,2033
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.1157142857142857,2034
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.12857142857142856,2035
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.14142857142857143,2036
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.1542857142857143,2037
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.16714285714285715,2038
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.18000000000000002,2039
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.19285714285714284,2040
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.2057142857142857,2041
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.21857142857142858,2042
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.2314285714285714,2043
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.24428571428571427,2044
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.2571428571428571,2045
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.27,2046
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.28285714285714286,2047
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.2957142857142857,2048
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.3085714285714286,2049
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.32142857142857145,2050
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.3342857142857143,2051
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.34714285714285714,2052
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.36000000000000004,2053
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.3728571428571429,2054
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.3857142857142857,2055
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.3985714285714286,2056
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.4114285714285714,2057
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.42428571428571427,2058
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.43714285714285717,2059
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.45,2060
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.0,2015
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.0,2016
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.0,2017
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.0,2018
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.0,2019
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.0,2020
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.0,2021
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.0,2022
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.0,2023
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.0,2024
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.0,2025
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.014285714285714285,2026
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.02857142857142857,2027
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.04285714285714286,2028
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.05714285714285714,2029
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.07142857142857142,2030
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.08571428571428572,2031
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.1,2032
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.11428571428571428,2033
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.12857142857142856,2034
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.14285714285714285,2035
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.15714285714285714,2036
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.17142857142857143,2037
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.18571428571428572,2038
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.2,2039
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.21428571428571427,2040
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.22857142857142856,2041
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.24285714285714285,2042
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.2571428571428571,2043
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.2714285714285714,2044
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.2857142857142857,2045
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.3,2046
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.3142857142857143,2047
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.32857142857142857,2048
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.34285714285714286,2049
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.35714285714285715,2050
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.37142857142857144,2051
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.38571428571428573,2052
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.4,2053
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.4142857142857143,2054
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.42857142857142855,2055
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.44285714285714284,2056
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.45714285714285713,2057
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.4714285714285714,2058
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.4857142857142857,2059
AFOLU,AGRC,TFR:AGRC:DEC_EXPORTS,AGRC: Decrease Exports,Decrease agricultural exports by 50% (relative to final time period),Fractional reduction in agricultural exports,0.0,0.5,2060
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),0.0,0.0,2015
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),0.0,0.0,2016
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),0.0,0.0,2017
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),0.0,0.0,2018
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),0.0,0.0,2019
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),0.0,0.0,2020
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),0.0,0.0,2021
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),0.0,0.0,2022
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),0.0,0.0,2023
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),0.0,0.0,2024
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),0.0,0.0,2025
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),0.0,0.018571428571428572,2026
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),0.0,0.037142857142857144,2027
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),0.0,0.055714285714285716,2028
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),0.0,0.07428571428571429,2029
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),0.0,0.09285714285714286,2030
AFOLU,AGRC,TFR:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC: Expand conservation agriculture," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",Fraction of crop classes that adopt conservation agriculture (per crop specified),0.0,0.11142857142857143,2031
