subsector_id,inventory_emission,ssp_emission,inventory_share,error,squared_error
lndu - LULUCF - Other Land:CO2,-2.128,-61.82904963,-0.003331702,-28.05500466,787.0832863
frst - LULUCF - Forest Land Sequestration:CO2,-200.67,-149.230558,-0.314178832,-0.256338476,0.065709414
scoe - EN - Other:N2O,0,0,0,0,0
scoe - EN - Other:CO2,0,0,0,0,0
scoe - EN - Other:CH4,0,0,0,0,0
ccsq - CCSQ:N2O,0,0,0,0,0
ccsq - CCSQ:CO2,0,0,0,0,0
ccsq - CCSQ:CH4,0,0,0,0,0
ippu - IN - Industrial Processes:N2O,73.33845551,68.59104283,0.114822297,0.064732924,0.004190351
entc - EN - Electricity/Heat:N2O,0.233475473,0.205457229,0.000365541,0.120005081,0.014401219
trww - Waste - Wastewater Treatment:N2O,2.078901332,1.327745381,0.00325483,0.36132352,0.130554686
ippu - IN - Industrial Processes:HFC,0.751950825,1.041418213,0.001177291,0.384955206,0.14819051
waso - Waste - Solid Waste:N2O,0.029931983,0.041894535,4.69E-05,0.399657732,0.159726303
inen - EN - Manufacturing/Construction:CO2,57.59916125,33.91445848,0.090180083,0.411198744,0.169084407
entc - EN - Electricity/Heat:CO2,129.460961,76.18733276,0.202690455,0.41150342,0.169335065
agrc - AG - Crops:CH4,1.144798849,0.673258546,0.001792353,0.411897949,0.169659921
fgtv - EN - Fugitive Emissions:CH4,26.07454172,13.74013431,0.040823586,0.473044073,0.223770695
trns - EN - Transportation:N2O,1.48837706,0.780942868,0.002330276,0.475305759,0.225915564
ippu - IN - Industrial Processes:HFC,0.751950825,0.2770343,0.001177291,0.631579224,0.398892317
agrc - AG - Crops:CO2,2.938055903,0.965996408,0.004599965,0.671212378,0.450526056
trns - EN - Transportation:CO2,144.6051099,42.32049203,0.22640088,0.707337507,0.500326348
ippu - IN - Industrial Processes:CO2,57.58981049,16.11280575,0.090165443,0.720214294,0.51870863
trns - EN - Transportation:CH4,0.746002839,0.198071117,0.001167979,0.734490119,0.539475736
ippu - IN - Industrial Processes:HFC,0.751950825,0.195432101,0.001177291,0.740099881,0.547747834
trww - Waste - Wastewater Treatment:CH4,23.36282676,5.803147981,0.036577992,0.751607627,0.564914024
agrc - AG - Crops:N2O,29.45225777,6.111166606,0.046111905,0.792506005,0.628065769
